state,year_month,E_total,E_0_5,E_5_17,E_18_plus,D_total,D_5_17,D_17_plus,B_total,B_5_17,B_17_plus,update_to_enrol_ratio,demo_update_ratio,biometric_update_ratio,E_child_share,E_minor_share,D_adult_share,B_adult_share,Total_Activity
Andhra Pradesh,2025-12,22926,21335,1360,231,323346,44619,278727,348564,175327,173237,29.3077728330582,14.10389950213278,15.203873330925418,0.9306028089971821,0.059321294597429935,0.86200849863347,0.4970019852867852,694836
Arunachal Pradesh,2025-09,1774,886,882,6,8957,1560,7397,7333,4606,2727,9.182638100798963,5.049041710795354,4.13359639000361,0.4994363018605207,0.49718151042999914,0.825834542723475,0.37188053997383325,18064
Arunachal Pradesh,2025-10,823,370,448,5,3921,778,3143,5884,4199,1685,11.913730240688055,4.7642770294480234,7.149453211240033,0.4495747260637002,0.5443499385852371,0.8015812290738125,0.28636981640272435,10628
Arunachal Pradesh,2025-11,791,329,366,96,4874,837,4037,9477,7603,1874,18.142857119920535,6.1618204726146395,11.981036647305896,0.41592920301399594,0.462705435571801,0.828272465976965,0.19774190142473969,15142
Arunachal Pradesh,2025-12,368,240,128,0,4474,706,3768,7705,5885,1820,33.095108605719815,12.157608662615194,20.93749994310462,0.6521739112712666,0.3478260860113422,0.8421993739735808,0.23621025305175725,12547
Assam,2025-03,2492,587,1105,800,149683,12455,137228,92931,59101,33830,97.35714281807499,60.06540928568804,37.29173353238695,0.23555377197610203,0.4434189404320149,0.9167908179224308,0.3640335302497118,245106
Assam,2025-04,25654,11931,9203,4520,3020,257,2763,139659,105295,34364,5.561666796384125,0.11772043345608013,5.4439463629280445,0.46507367270347416,0.3587354798332137,0.9149006619487084,0.24605646610496953,168333
Assam,2025-05,13197,5170,5609,2418,714,88,626,83841,52863,30978,6.407137985420388,0.05410320526982623,6.353034780150562,0.39175570202381177,0.42502083803705226,0.8767506990521698,0.3694850967859462,97752
Assam,2025-06,9734,4878,3401,1455,1346,103,1243,71576,39419,32157,7.4914731859984105,0.13827820010907352,7.353194985889337,0.5011300595334774,0.3493938770958091,0.923476968110344,0.4492707052580576,82656
Assam,2025-07,47873,30769,11877,5227,27798,3030,24768,95172,51489,43683,2.5686712760309844,0.5806613330983924,1.9880099429325924,0.6427213669366298,0.24809391514532003,0.8909993524393481,0.45899003908230374,170843
Assam,2025-09,50639,35699,14195,745,161785,15162,146623,94145,63983,30162,5.054009755227117,3.194869566871485,1.8591401883556322,0.7049704772861831,0.2803175418100611,0.9062830299415503,0.32037814009962956,306569
Assam,2025-10,25787,16361,6693,2733,104390,7244,97146,122569,52560,70009,8.8012952259355,4.048163803309879,4.7531314226256205,0.6344669794611832,0.25954938533914185,0.9306063799125338,0.5711803147568213,252746
Assam,2025-11,29824,18577,8093,3154,122463,10130,112333,101229,65344,35885,7.500402360263532,4.106189645785066,3.3942127144784666,0.6228876072752518,0.27135863732995713,0.9172811379688781,0.354493277614572,253516
Assam,2025-12,20159,13998,4658,1503,183898,14502,169396,144028,84052,59976,16.26697752784032,9.12237710158627,7.14460042625405,0.6943796814973768,0.23106304875087738,0.9211410673257939,0.41641902963023564,348085
Bihar,2025-03,2352,516,1392,444,807133,71042,736091,763509,324179,439330,667.7899657024703,343.16879237110174,324.62117333136854,0.21938775500876373,0.5918367344422463,0.9119822879241563,0.5754090652492958,1572994
Bihar,2025-04,29442,12551,15361,1530,7650,1102,6548,795719,419994,375725,27.286495481717054,0.25983289177841745,27.026662589938635,0.42629576793606766,0.5217376536742837,0.855947712306412,0.472183019381877,832811
Bihar,2025-05,31651,13251,17159,1241,5096,384,4712,552199,283915,268284,17.60750055234882,0.16100597137022507,17.446494580978595,0.4186597579723023,0.5421313702397355,0.9246467816081932,0.48584658791398416,588946
Bihar,2025-07,59274,19008,38019,2247,8517,628,7889,604061,253037,351024,10.334682997429992,0.14368863245025326,10.190994364979739,0.3206802307871802,0.6414110739845226,0.9262651167164183,0.5811068749669634,671852
Bihar,2025-09,143565,62940,79583,1042,980081,55683,924398,355613,139255,216358,9.303757879641251,6.826740500770892,2.477017378870358,0.4384076898935088,0.5543342736700844,0.9431853081521393,0.6084085789872462,1479259
Bihar,2025-10,95977,43690,50636,1651,446341,34365,411976,241519,98044,143475,7.166925409137951,4.650499598813774,2.5164258103241774,0.455213228164506,0.5275847338369861,0.9230072971093334,0.5940526418186807,783837
Bihar,2025-11,98223,44572,52661,990,659294,52938,606356,369361,138139,231222,10.472648972130024,6.712216079668589,3.7604328924614356,0.4537837370019875,0.5361371572794953,0.9197050177903641,0.6260054526584398,1126878
Bihar,2025-12,86883,42223,44009,651,724729,69741,654988,602530,264862,337668,15.276394691536016,8.341436184197814,6.934958507338203,0.4859753921885067,0.5065317726079149,0.9037695469604449,0.5604169087007113,1414142
Chandigarh,2025-04,117,86,21,10,10504,2731,7773,7921,4587,3334,157.47863113266126,89.77777701044636,67.70085412221492,0.7350427287603186,0.17948717795310104,0.7400038080026653,0.4209064511525178,18542
Chandigarh,2025-09,856,776,79,1,4735,576,4159,4237,2229,2008,10.481308398970434,5.531542049612685,4.949766349357749,0.9065420550157219,0.09228971951835313,0.8783526925283309,0.4739202264635543,9828
Chandigarh,2025-10,465,421,44,0,2795,256,2539,2305,1313,992,10.96774191189733,6.010752675245693,4.956989236651636,0.9053763421389757,0.09462365571048677,0.9084078708735571,0.4303687633707728,5565
Chandigarh,2025-11,659,608,36,15,5667,539,5128,3929,1985,1944,14.561456730559247,8.599393006677705,5.962063723881542,0.9226100137744916,0.05462822449980543,0.9048879476081017,0.4947823872499918,10255
Chandigarh,2025-12,523,486,30,7,6709,614,6095,4387,2075,2312,21.21606114490237,12.827915845453315,8.388145299449054,0.9292543003264736,0.05736137656336257,0.9084811445955461,0.5270116251363092,11619
Chhattisgarh,2025-03,260,115,46,99,212323,13462,198861,171392,37255,134137,1475.8269174006657,816.6269199360503,659.1999974646154,0.4423076906065089,0.17692307624260356,0.9365966004580917,0.7826327949916995,383975
Chhattisgarh,2025-04,1745,1299,254,192,37987,3771,34216,287729,48023,239706,186.6567334173887,21.76905442878564,164.88767898860303,0.7444126070232592,0.14555873917159956,0.9007291968067831,0.8330964205873127,327461
Chhattisgarh,2025-05,1406,945,270,191,42204,3696,38508,266716,50698,216018,219.71550482239294,30.01706967993096,189.698435142462,0.6721194874309249,0.19203413926597854,0.9124253625032598,0.8099176652288954,310326
Chhattisgarh,2025-06,1263,608,439,216,235622,16730,218892,359914,83928,275986,471.52494024423993,186.55740286099967,284.96753738324026,0.4813935071406227,0.3475851145308114,0.9289964434521012,0.766810960393964,596799
Chhattisgarh,2025-07,7587,5376,1792,419,110422,11982,98440,346567,80588,265979,60.23316197967139,14.554105705212322,45.679056274459064,0.7085804664941899,0.23619348883139665,0.8914890148621517,0.7674677623640812,464576
Chhattisgarh,2025-09,28805,23738,4804,263,174551,12627,161924,197859,50299,147560,12.928658218610357,6.059746571565362,6.868911647044995,0.824093039374272,0.16677660127870936,0.9276601107932486,0.7457836135796411,401215
Chhattisgarh,2025-10,16422,13361,2933,128,113075,7382,105693,145331,56561,88770,15.735355010611658,6.885580318664865,8.849774691946791,0.8136037023009619,0.17860187552194606,0.9347158965205863,0.6108125589130274,274828
Chhattisgarh,2025-11,24069,19035,4741,293,207980,19247,188733,298218,143498,154720,21.031118865718096,8.640990485327974,12.390128380390124,0.7908513024724396,0.19697536249129688,0.907457447827159,0.5188150949958794,530267
Chhattisgarh,2025-12,18216,15176,2879,161,287205,28900,258305,485385,288544,196841,42.41271409516838,15.766633727724713,26.64608036744367,0.8331137461114891,0.1580478699957154,0.8993750108775983,0.4055358117774436,790806
Dadra And Nagar Haveli And Daman And Diu,2025-09,475,414,53,8,2127,421,1706,6424,3512,2912,18.002105225258727,4.4778947274149585,13.524210497843768,0.871578945533518,0.111578947133518,0.8020686409017073,0.45330012446243767,9026
Dadra And Nagar Haveli And Daman And Diu,2025-10,152,136,16,0,1035,193,842,1302,549,753,15.374999898848685,6.8092104815183525,8.565789417330333,0.8947368362188366,0.10526315720221607,0.813526569262293,0.5783410133806904,2489
Dadra And Nagar Haveli And Daman And Diu,2025-11,251,222,28,1,1822,296,1526,3236,1645,1591,20.151394342026318,7.258964114506119,12.8924302275202,0.8844621478706688,0.11155378441612038,0.8375411630968489,0.4916563657318738,5309
Dadra And Nagar Haveli And Daman And Diu,2025-12,175,151,10,14,2270,336,1934,3729,1322,2407,34.27999980411429,12.971428497306123,21.308571306808165,0.8628571379265306,0.05714285681632653,0.8519823784793029,0.6454813621224239,6174
Delhi,2025-03,368,181,102,85,187125,17058,170067,164368,62172,102196,955.1440191436304,508.4918464443156,446.65217269931475,0.4918478247504135,0.27717391229028826,0.9088416833618765,0.6217511924424355,351861
Delhi,2025-04,5930,4078,1495,357,180318,27259,153059,273966,122032,151934,76.60775715402904,30.407757161819937,46.1999999922091,0.6876897132061232,0.25210792575849783,0.8488281813193977,0.554572465194387,460214
Delhi,2025-05,5581,3687,1514,380,74161,9946,64215,187658,75023,112635,46.91256046462774,13.28812040614798,33.62444005847976,0.6606342948108521,0.27127754877776783,0.8658863823186597,0.6002142194811827,267400
Delhi,2025-06,8161,5327,2371,463,85145,10393,74752,136102,51352,84750,27.110280599545362,10.433157699983683,16.67712289956168,0.6527386348912219,0.29052812151813157,0.8779376357874458,0.622694743643571,229408
Delhi,2025-07,18784,12568,5476,740,133773,21224,112549,172708,68606,104102,16.316066864548763,7.121646081392587,9.194420783156174,0.6690800681074808,0.2915247018584154,0.8413431708876877,0.6027630451362834,325265
Delhi,2025-09,18806,13984,4475,347,68911,9613,59298,101989,50022,51967,9.08752525741319,3.664309262806322,5.423215994606869,0.7435924704486019,0.23795597148580475,0.8605012262068393,0.5095353420416954,189706
Delhi,2025-10,10014,7792,2058,164,39938,3861,36077,45108,19554,25554,8.492710204863918,3.9882164965060696,4.50449370835785,0.778110645019162,0.2055122827835518,0.9033251539660643,0.5665070497347143,95060
Delhi,2025-11,14788,11487,2946,355,83982,8128,75854,81952,37397,44555,11.220854746333456,5.679064105647885,5.54179064068557,0.7767784689764148,0.19921558018669086,0.9032173560893618,0.5436719054990279,180722
Delhi,2025-12,10406,8740,1534,132,116313,10555,105758,118093,59237,58856,22.526042665526997,11.17749375252955,11.348548912997448,0.8399000575783298,0.14741495289761533,0.9092534798267671,0.4983868645855522,244812
Goa,2025-09,872,693,105,74,5243,330,4913,4692,2117,2575,11.393348610787445,6.012614672003882,5.380733938783562,0.7947247697308202,0.12041284389860912,0.9370589355450964,0.548806478996418,10807
Goa,2025-10,424,367,47,10,3236,259,2977,4953,3082,1871,19.31367919973189,7.632075453697936,11.681603746033954,0.8655660356944197,0.11084905634233713,0.9199629168974157,0.3777508579895516,8613
Goa,2025-11,643,537,67,39,6527,516,6011,7937,5039,2898,22.49455673017954,10.150855349687628,12.343701380491911,0.8351477436467376,0.10419906671197657,0.9209437718828031,0.36512536218153896,15107
Goa,2025-12,299,253,24,22,6515,503,6012,7196,4548,2648,45.85618713760473,21.789297585988972,24.066889551615755,0.8461538433239002,0.08026755825997473,0.9227935531968083,0.3679822122890519,14010
Gujarat,2025-03,1322,686,354,282,344948,50696,294252,396391,167890,228501,560.7708013912475,260.92889541533367,299.8419059759138,0.5189107409085395,0.26777609662044166,0.8530329209015474,0.5764535521730401,742661
Gujarat,2025-04,27846,17603,6024,4219,42980,4304,38676,374310,163791,210519,14.985635279214765,1.5434891904925845,13.44214608872218,0.6321554262503715,0.21633268691315333,0.8998604001651963,0.5624188506837583,445136
Gujarat,2025-05,14294,9005,3615,1674,75468,8671,66797,452907,212970,239937,36.964810407376184,5.279697774920967,31.68511263245522,0.6299846088827491,0.25290331605898253,0.8851036200656557,0.5297710125908194,542669
Gujarat,2025-06,12224,6275,5245,704,42807,4945,37862,437361,206071,231290,39.28075915909025,3.501881544216142,35.77887761487411,0.5133344240417756,0.4290739528444802,0.8844815100127437,0.5288308742651292,492392
Gujarat,2025-07,60833,33294,23945,3594,63044,6578,56466,541874,250482,291392,9.943912021272272,1.0363454046153182,8.907566616656952,0.5473016290410254,0.393618595163914,0.8956601738326302,0.537748627908817,665751
Gujarat,2025-09,60564,44182,15179,1203,205570,20233,185337,270696,116738,153958,7.863846509347733,3.3942606168120624,4.4695858925356715,0.729509279427886,0.25062743543605726,0.9015761054584736,0.5687487070345747,536830
Gujarat,2025-10,20508,15328,3841,1339,89935,9840,80095,79707,34569,45138,8.271991417579871,4.38536180981152,3.886629607768352,0.7474156426395838,0.18729276379036022,0.8905876466237774,0.5662990703380344,190150
Gujarat,2025-11,47063,36898,8111,2054,207411,21561,185850,239399,106854,132545,9.493869918842957,4.407092620436286,5.086777298406672,0.7840129188367929,0.17234345451474953,0.8960469791819332,0.5536572834449865,493873
Gujarat,2025-12,30388,25438,3956,994,285952,28354,257598,355243,178567,176676,21.100269842664858,9.410030274798933,11.690239567865927,0.8371067526379786,0.13018296695635834,0.9008434982063394,0.497338441572396,671583
Haryana,2025-03,200,98,79,23,135663,14930,120733,191374,68047,123327,1635.184991824075,678.3149966084251,956.8699952156501,0.48999999755,0.394999998025,0.8899478855628288,0.6444292328077773,327237
Haryana,2025-04,2328,1785,482,61,79446,11610,67836,216642,89177,127465,127.18556695567631,34.12628864513476,93.05927831054156,0.7667525769902266,0.2070446734505822,0.8538630012731433,0.588366983315385,298416
Haryana,2025-05,3696,3039,601,56,66242,9048,57194,170812,61904,108908,64.13798699563367,17.922619042769856,46.21536795286381,0.8222402595177921,0.1626082250642294,0.8634099211849974,0.6375898648769548,240750
Haryana,2025-06,7641,6112,1190,339,65313,7435,57878,165272,55616,109656,30.177332805892245,8.54770317909335,21.629629626798895,0.7998953015574014,0.15573877762652286,0.8861635508874778,0.6634880681503007,238226
Haryana,2025-07,6752,5274,1301,177,105049,13500,91549,267325,122995,144330,55.1501777169505,15.55820497399908,39.59197274295143,0.7811018956189126,0.19268364926056225,0.871488543433336,0.5399046104908262,379126
Haryana,2025-09,22701,20658,1920,123,77182,10272,66910,143669,72625,71044,9.72869036563461,3.399938328558216,6.328752037076395,0.9100039645429715,0.08457777190059566,0.8669119742832927,0.4944977691743208,243552
Haryana,2025-10,15918,14852,1015,51,61071,6310,54761,96547,44682,51865,9.901872093862176,3.8366000751453324,6.065272018716844,0.9330317878544395,0.06376429199247617,0.8966776374892064,0.5371994986841933,173536
Haryana,2025-11,21537,19815,1545,177,101847,11587,90260,154642,70689,83953,11.90922598263875,4.728931605853696,7.180294376785054,0.9200445744105472,0.07173701072239694,0.8862313077372311,0.542886149942817,278026
Haryana,2025-12,14312,13479,764,69,134030,13581,120449,193981,91129,102852,22.918599774810048,9.364868641044936,13.55373113376511,0.9417970932824345,0.05338177752561614,0.8986719391114029,0.5302168769078919,342323
Himachal Pradesh,2025-07,114,57,24,33,827,83,744,48414,16848,31566,431.9385927022931,7.254385901277317,424.68420680101576,0.49999999561403513,0.21052631394275165,0.8996372419593262,0.6520014871596646,49355
Himachal Pradesh,2025-09,4753,4476,253,24,28699,2496,26203,29753,13398,16355,12.297917102398923,6.038081210595816,6.259835891803106,0.9417210181060969,0.05322953922717661,0.9130283284813746,0.5496924679679464,63205
Himachal Pradesh,2025-10,3976,3801,133,42,12246,1634,10612,32031,22554,9477,11.136066395589522,3.0799798785010113,8.05608651708851,0.9559859152525186,0.03345070421693896,0.8665686754151095,0.29586962629028535,48253
Himachal Pradesh,2025-11,5137,4923,154,60,19461,2959,16502,50360,34962,15398,13.591785085927237,3.7883978968681333,9.803387189059103,0.9583414442362582,0.02997858671793292,0.8479523148426107,0.30575853851656554,74958
Himachal Pradesh,2025-12,2929,2824,86,19,26131,3848,22283,46220,25926,20294,24.701604634789483,8.92147490306539,15.780129731724093,0.9641515872433761,0.029361556835315276,0.8527419539683616,0.4390739939325168,75280
Jammu And Kashmir,2025-04,211,142,59,10,28073,4747,23326,89932,36268,53664,559.265400193055,133.04739273437255,426.21800745868245,0.6729857788010153,0.2796208517553514,0.8309051401406723,0.5967175198972923,118216
Jammu And Kashmir,2025-05,268,191,55,22,11791,2309,9482,77298,36095,41203,332.42164055066553,43.99626849255124,288.4253720581143,0.7126865645049009,0.20522387983125417,0.8041726740052436,0.533040958362014,89357
Jammu And Kashmir,2025-07,950,569,344,37,18978,2799,16179,102251,48013,54238,127.60947354988477,19.976842084234903,107.63263146564987,0.5989473677905818,0.36210526277673133,0.8525134365658914,0.5304398000945669,122179
Jammu And Kashmir,2025-09,11865,9660,2181,24,32456,3762,28694,49312,25443,23869,6.891529708647996,2.7354403706080537,4.1560893380399415,0.8141592919667796,0.18381795194405243,0.8840892284667214,0.48404039583703684,93633
Jammu And Kashmir,2025-10,10230,8316,1819,95,25197,2990,22207,62406,41616,20790,8.563343107667317,2.4630498531316665,6.10029325453565,0.8129032257269889,0.17781036166394815,0.8813350795379873,0.3331410441250338,97833
Jammu And Kashmir,2025-11,12661,10107,2260,294,40117,5528,34589,94009,66769,27240,10.593633993318566,3.1685490874995224,7.425084905819044,0.7982781770161694,0.17850090828698356,0.8622030560395293,0.2897594911094708,146787
Jammu And Kashmir,2025-12,11444,10320,1084,40,63004,9061,53943,118864,78152,40712,15.89199580427368,5.505417685642658,10.386578118631022,0.901782593419977,0.09472212512279604,0.8561837343524826,0.3425090860113869,193312
Jharkhand,2025-03,55,12,25,18,405756,16716,389040,330286,142789,187497,13382.581574862154,7377.381684047606,6005.199890814548,0.21818181421487612,0.4545454462809919,0.958802827312575,0.5676807372986815,736097
Jharkhand,2025-04,3706,2026,1496,184,3063,303,2760,378962,185766,193196,103.08283861222806,0.8264975712826504,102.2563410409454,0.5466810575966862,0.4036697246617189,0.9010773748282477,0.5098030937125363,385731
Jharkhand,2025-09,45359,27568,17643,148,183281,15247,168034,161345,68218,93127,7.59774245447215,4.04067549981171,3.5570669546604408,0.6077735399676409,0.38896360148175746,0.9168107987139048,0.5771917319992736,389985
Jharkhand,2025-10,25017,15802,8984,231,92186,7705,84481,83701,37131,46570,7.030699124314238,3.6849342445662976,3.3457648797479407,0.631650477649932,0.3591158012407916,0.9164189790107347,0.5563852283657736,200904
Jharkhand,2025-11,41407,26954,14215,238,185372,15873,169499,158098,61774,96324,8.294974279510832,4.476827589429883,3.818146690080949,0.650952737444129,0.3432994421150216,0.914372181338528,0.6092676694163792,384877
Jharkhand,2025-12,23466,16380,6941,145,193832,20494,173338,195413,91101,104312,16.587616124751232,8.260121025813513,8.32749509893772,0.6980311940382667,0.2957896531025403,0.8942692641003844,0.5338027664457646,412711
Karnataka,2025-03,732,309,192,231,296805,65006,231799,312129,134538,177591,831.8770480438839,405.47131092148726,426.40573712239654,0.4221311469643017,0.2622950816088865,0.7809807786230657,0.5689666772373956,609666
Karnataka,2025-04,9586,7326,1165,1095,41119,6520,34599,300403,136997,163406,35.62716461134705,4.2894846646891835,31.337679946657868,0.7642395158810515,0.12153139994559446,0.8414358325630138,0.5439559525019925,351108
Karnataka,2025-05,5491,2835,1758,898,66094,12433,53661,354026,185952,168074,76.51065378318873,12.036787468214024,64.4738663149747,0.5162993989225461,0.3201602621890074,0.8118891275938529,0.47475044205658695,425611
Karnataka,2025-06,11685,5863,3662,2160,52759,9940,42819,337504,158782,178722,33.39863072029109,4.515104834872477,28.88352588541861,0.5017543859219722,0.3133932391687297,0.8115961257641048,0.5295403906308384,401948
Karnataka,2025-07,15263,8654,4460,2149,51296,7712,43584,374362,165546,208816,27.888226428101408,3.3608071805437456,24.52741924755766,0.5669920722946346,0.29220991939381447,0.8496568933084517,0.5577916562029325,440921
Karnataka,2025-09,58353,49262,8066,1025,176332,19997,156335,212722,91291,121431,6.667249327255372,3.0218155021503295,3.6454338251050427,0.8442068102609256,0.13822768323585372,0.8865946056252603,0.5708436362925751,447407
Karnataka,2025-10,34983,29571,4656,756,127932,17033,110899,170362,76283,94079,8.526827315881233,3.656976245500472,4.8698510703807605,0.8452962867436956,0.13309321670145233,0.8668589563137694,0.5522299573816213,333277
Karnataka,2025-11,44897,37890,5652,1355,189761,25200,164561,219860,104206,115654,9.123571730647402,4.226585295137167,4.896986435510235,0.8439316657940635,0.12588814397118098,0.8672013743558097,0.5260347493835803,454518
Karnataka,2025-12,38586,34430,3787,369,252663,31914,220749,320711,174695,146016,14.859638210364908,6.548048514835743,8.311589695529166,0.8922925413131112,0.09814440470382667,0.8736894598699703,0.45528840607133747,611960
Kerala,2025-09,19499,13659,5661,179,97052,9755,87297,126408,47158,79250,11.46007487504692,4.977280885944034,6.482793989102888,0.7004974613723526,0.29032258063027216,0.8994868730072592,0.6269381684653904,242959
Kerala,2025-10,16603,11793,4281,529,87746,8507,79239,96301,32238,64063,11.085165330898924,5.284948502964227,5.8002168279346975,0.7102933204414688,0.2578449677613778,0.9030497116574767,0.6652371211029456,200650
Kerala,2025-11,22685,16206,5068,1411,142157,10726,131431,137704,47354,90350,12.336830504194982,6.26656380840791,6.070266695787073,0.7143927705217371,0.2234075380108703,0.9245482107745341,0.6561174693497929,302546
Kerala,2025-12,14123,10848,2906,369,170138,10918,159220,170319,73888,96431,24.10656375953363,12.046873892795661,12.059689866737967,0.7681087587079155,0.20576364793558283,0.9358285626906638,0.5661787586789132,354580
Ladakh,2025-09,175,124,46,5,395,48,347,697,561,136,6.239999964342857,2.257142844244898,3.9828571200979592,0.708571424522449,0.2628571413551021,0.8784810104342253,0.19512195093956677,1267
Ladakh,2025-10,111,66,40,5,251,60,191,416,317,99,6.009008954873793,2.2612612408895383,3.7477477139842548,0.5945945892378866,0.36036035711387066,0.7609561722671069,0.23798076865870008,778
Ladakh,2025-11,173,135,32,6,627,120,507,409,225,184,5.988439271743125,3.6242774356978185,2.3641618360453074,0.7803468162985733,0.18497109719669885,0.8086124389017345,0.44987774951130133,1209
Ladakh,2025-12,158,141,15,2,1268,271,997,635,290,345,12.044303721238585,8.02531640490306,4.018987316335523,0.8924050576430059,0.09493670825989425,0.7862776019035664,0.5433070857585716,2061
Lakshadweep,2025-09,64,60,4,0,199,27,172,328,140,188,8.234374871337893,3.1093749514160165,5.124999919921876,0.9374999853515628,0.062499999023437516,0.8643216036968764,0.5731707299598453,591
Lakshadweep,2025-10,40,38,2,0,180,29,151,453,297,156,15.82499960437501,4.499999887500003,11.324999716875007,0.9499999762500007,0.04999999875000003,0.8388888842283951,0.34437086016695173,673
Lakshadweep,2025-11,64,59,4,1,244,40,204,423,220,203,10.421874837158207,3.8124999404296886,6.609374896728517,0.9218749855957034,0.062499999023437516,0.8360655703439935,0.47990543621771764,731
Lakshadweep,2025-12,31,31,0,0,290,35,255,527,265,262,26.354837859521357,9.354838407908439,16.999999451612922,0.9999999677419364,0.0,0.8793103417954816,0.4971536992463877,848
Madhya Pradesh,2025-03,542,286,161,95,491517,54583,436934,663358,294961,368397,2130.7656787255246,906.8579319061662,1223.9077468193584,0.5276752757791969,0.29704796993164584,0.8889499244158616,0.5553517105385699,1155417
Madhya Pradesh,2025-04,17351,12077,4146,1128,106817,17635,89182,834670,501173,333497,54.261252950592976,6.156244596498401,48.10500835409457,0.6960405739901999,0.23894876374624235,0.8349045563830205,0.3995555129567379,958838
Madhya Pradesh,2025-05,10603,7221,3018,364,161519,24753,136766,779064,469737,309327,88.70913891457991,15.233330188132289,73.47580872644762,0.6810336696518878,0.284636423626838,0.8467486797166478,0.3970495363662073,951186
Madhya Pradesh,2025-06,18154,9708,7774,672,129631,23467,106164,891131,538546,352585,56.22793874318454,7.140630163757814,49.08730857942672,0.5347581799859669,0.42822518450874597,0.8189707708741044,0.39566012179983,1038916
Madhya Pradesh,2025-07,63188,34979,26040,2169,211892,40718,171174,1004035,536751,467284,19.243005000645013,3.353358232522736,15.889646768122276,0.5535702981491174,0.41210356396132014,0.8078360674267653,0.46540608644074616,1279115
Madhya Pradesh,2025-09,132517,98016,33562,939,280255,38283,241972,456505,206528,249977,5.559739505078142,2.1148607348331545,3.4448787702449883,0.739648497922986,0.2532656187488906,0.8633994041110296,0.5475887449194475,869277
Madhya Pradesh,2025-10,61174,48447,11477,1250,141118,16492,124626,217008,104180,112828,5.854219112599238,2.3068296988539765,3.547389413745261,0.7919540981333254,0.18761238434322405,0.8831332643540644,0.5199255326968594,419300
Madhya Pradesh,2025-11,102776,84129,16814,1833,256912,31240,225672,375111,177422,197689,6.1495193429774515,2.4997275628308193,3.6497917801466317,0.8185665914141573,0.16359850548607072,0.8784019430743663,0.5270146703228458,734799
Madhya Pradesh,2025-12,81587,68381,12180,1026,324974,42540,282434,598854,319372,279482,11.323225513729845,3.983159081667629,7.3400664320622155,0.8381359775351694,0.14928848958597218,0.8690972200826248,0.4666947202482296,1005415
Maharashtra,2025-03,460,232,130,98,514723,33174,481549,959149,300370,658779,3204.069558252023,1118.9630410457326,2085.1065172062904,0.5043478249905482,0.28260869503780717,0.935549800570529,0.6868369773615082,1474332
Maharashtra,2025-04,10591,7986,1901,704,35814,3473,32341,846049,282523,563526,83.26531960312856,3.3815503726388867,79.88376923048968,0.7540364459678938,0.1794920215107646,0.9030267492906956,0.6660678045826351,892454
Maharashtra,2025-05,9849,6706,2352,791,54523,6008,48515,947776,300215,647561,101.76657527649847,5.535891968165713,96.23068330833276,0.6808813076778474,0.238805970125007,0.8898079709317204,0.6832426649327655,1012148
